210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,2003-07-16,2025-05-09 12:27:48.5666667
211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,2003-07-16,2025-05-09 12:27:48.5666667
212,AC_HE,HL-U509-R,Sport-100 Helmet- Red,12,Sales,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
213,AC_HE,HL-U509-R,Sport-100 Helmet- Red,14,Sales,2012-07-01,2012-07-16,2025-05-09 12:27:48.5666667
214,AC_HE,HL-U509-R,Sport-100 Helmet- Red,13,Sales,2013-07-01,2013-07-16,2025-05-09 12:27:48.5666667
215,AC_HE,HL-U509,Sport-100 Helmet- Black,12,Sales,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
216,AC_HE,HL-U509,Sport-100 Helmet- Black,14,Sales,2012-07-01,2012-07-16,2025-05-09 12:27:48.5666667
217,AC_HE,HL-U509,Sport-100 Helmet- Black,13,Sales,2013-07-01,2013-07-16,2025-05-09 12:27:48.5666667
218,CL_SO,SO-B909-M,Mountain Bike Socks- M,3,Mountains,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
219,CL_SO,SO-B909-L,Mountain Bike Socks- L,3,Mountains,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
220,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,12,Sales,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
221,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,14,Sales,2012-07-01,2012-07-16,2025-05-09 12:27:48.5666667
222,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,13,Sales,2013-07-01,2013-07-16,2025-05-09 12:27:48.5666667
223,CL_CA,CA-1098,AWC Logo Cap,6,Sales,2011-07-01,2011-07-16,2025-05-09 12:27:48.5666667
224,CL_CA,CA-1098,AWC Logo Cap,5,Sales,2012-07-01,2012-07-16,2025-05-09 12:27:48.5666667
225,CL_CA,CA-1098,AWC Logo Cap,7,Sales,2013-07-01,2013-07-16,2025-05-09 12:27:48.5666667
